dex,name,animationTime/0,animationTime/1,animationTime/2,animationTime/3,animationTime/4,animationTime/5,animationTime/6,animationTime/7,height,modelHeight,kmBuddyDistance,weight,modelScale,id,maxCP,cinematicMoves/0/name,cinematicMoves/0/id,cinematicMoves/1/name,cinematicMoves/1/id,cinematicMoves/2/name,cinematicMoves/2/id,quickMoves/0/name,quickMoves/0/id,quickMoves/1/name,quickMoves/1/id,family/id,family/name,stats/baseAttack,stats/baseDefense,stats/baseStamina,types/0/id,types/0/name,types/1/id,types/1/name,encounter/attackProbability,encounter/attackTimer,encounter/baseFleeRate,encounter/baseCaptureRate,encounter/cameraDistance,encounter/collisionRadius,encounter/dodgeDistance,encounter/dodgeProbability,encounter/jumpTime,encounter/maxPokemonActionFrequency,encounter/minPokemonActionFrequency,encounter/movementType/name,encounter/movementType/id,encounter/gender/malePercent,encounter/gender/femalePercent,camera/cylinderRadius,camera/diskRadius,camera/shoulderModeScale,evolution/futureBranches/0/name,evolution/futureBranches/0/id,evolution/futureBranches/0/futureBranches/0/name,evolution/futureBranches/0/futureBranches/0/id,evolution/futureBranches/0/futureBranches/0/costToEvolve/candyCost,evolution/futureBranches/0/costToEvolve/candyCost,buddySize/id,buddySize/name,evolution/pastBranch/name,evolution/pastBranch/id,evolution/costToEvolve/candyCost,evolution/pastBranch/pastBranch/name,evolution/pastBranch/pastBranch/id,evolution/pastBranch/costToEvolve/candyCost,camera/cylinderGround,encounter/movementType,evolution/futureBranches/0/futureBranches/1/name,evolution/futureBranches/0/futureBranches/1/id,evolution/futureBranches/0/futureBranches/1/costToEvolve/candyCost,evolution/futureBranches/0/futureBranches/1/costToEvolve/evolutionItem/id,evolution/futureBranches/0/futureBranches/1/costToEvolve/evolutionItem/name,evolution/futureBranches/1/name,evolution/futureBranches/1/id,evolution/futureBranches/1/costToEvolve/candyCost,evolution/futureBranches/1/costToEvolve/evolutionItem/id,evolution/futureBranches/1/costToEvolve/evolutionItem/name,evolution/futureBranches/0/costToEvolve/evolutionItem/id,evolution/futureBranches/0/costToEvolve/evolutionItem/name,cinematicMoves/3/name,cinematicMoves/3/id,evolution/futureBranches/0/futureBranches/0/costToEvolve/evolutionItem/id,evolution/futureBranches/0/futureBranches/0/costToEvolve/evolutionItem/name,evolution/futureBranches/2/name,evolution/futureBranches/2/id,evolution/futureBranches/2/costToEvolve/candyCost,evolution/futureBranches/3/name,evolution/futureBranches/3/id,evolution/futureBranches/3/costToEvolve/candyCost,evolution/futureBranches/4/name,evolution/futureBranches/4/id,evolution/futureBranches/4/costToEvolve/candyCost,rarity/id,rarity/name,cinematicMoves/4/name,cinematicMoves/4/id,cinematicMoves/5/name,cinematicMoves/5/id,cinematicMoves/6/name,cinematicMoves/6/id,cinematicMoves/7/name,cinematicMoves/7/id,evolution/costToEvolve/evolutionItem/id,evolution/costToEvolve/evolutionItem/name,evolution/futureBranches/1/futureBranches/0/name,evolution/futureBranches/1/futureBranches/0/id,evolution/futureBranches/1/futureBranches/0/costToEvolve/candyCost,evolution/futureBranches/0/costToEvolve/kmBuddyDistance,evolution/costToEvolve/kmBuddyDistance
1,Bulbasaur,1.6667,0.6667,1.6667,1.8333,0,2.1667,1.4,1.466667,0.7,0.7,3,6.9,1.09,BULBASAUR,981,Sludge Bomb,SLUDGE_BOMB,Seed Bomb,SEED_BOMB,Power Whip,POWER_WHIP,Vine Whip Fast,VINE_WHIP_FAST,Tackle Fast,TACKLE_FAST,FAMILY_BULBASAUR,Bulbasaur,118,118,90,POKEMON_TYPE_GRASS,Grass,POKEMON_TYPE_POISON,Poison,0.1,29,0.1,0.2,3.75,0.3815,1,0.15,1.15,1.6,0.2,Movement Jump,MOVEMENT_JUMP,0.875,0.125,0.5,0.5723,0.5,Ivysaur,IVYSAUR,Venusaur,VENUSAUR,100,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Ivysaur,2.6667,0.6667,1.6667,2.1667,0,2,1.6667,1.733333,1,1.25,3,13,0.85,IVYSAUR,1552,Sludge Bomb,SLUDGE_BOMB,Solar Beam,SOLAR_BEAM,Power Whip,POWER_WHIP,Razor Leaf Fast,RAZOR_LEAF_FAST,Vine Whip Fast,VINE_WHIP_FAST,FAMILY_BULBASAUR,Bulbasaur,151,151,120,POKEMON_TYPE_GRASS,Grass,POKEMON_TYPE_POISON,Poison,0.1,8,0.07,0.1,3.984375,0.31875,1,0.15,1.5,1.6,0.2,Movement Jump,MOVEMENT_JUMP,0.875,0.125,0.51,0.765,0.5,Venusaur,VENUSAUR,,,,100,BUDDY_BIG,Big,Bulbasaur,BULBASAUR,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Venusaur,2.4667,0.6667,1.6667,1.8333,0,2.1333,2,2.066667,2,1.9,3,100,0.69,VENUSAUR,2568,Sludge Bomb,SLUDGE_BOMB,Petal Blizzard,PETAL_BLIZZARD,Solar Beam,SOLAR_BEAM,Razor Leaf Fast,RAZOR_LEAF_FAST,Vine Whip Fast,VINE_WHIP_FAST,FAMILY_BULBASAUR,Bulbasaur,198,198,160,POKEMON_TYPE_GRASS,Grass,POKEMON_TYPE_POISON,Poison,0.2,4,0.05,0.05,5.6925,0.759,1,0.15,1.25,1.6,0.2,Movement Jump,MOVEMENT_JUMP,0.875,0.125,1.25,1.1385,0.5,,,,,,,BUDDY_BIG,Big,Ivysaur,IVYSAUR,100,Bulbasaur,BULBASAUR,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Charmander,2.1333,0.6667,1.6667,1.8333,0,2.1333,1.1667,1.333333,0.6,0.6,3,8.5,1.25,CHARMANDER,831,Flame Charge,FLAME_CHARGE,Flame Burst,FLAME_BURST,Flamethrower,FLAMETHROWER,Ember Fast,EMBER_FAST,Scratch Fast,SCRATCH_FAST,FAMILY_CHARMANDER,Charmander,116,96,78,POKEMON_TYPE_FIRE,Fire,,,0.1,10,0.1,0.2,2.8125,0.15625,1,0.15,1.25,1.6,0.2,Movement Jump,MOVEMENT_JUMP,0.875,0.125,0.3125,0.4688,0.5,Charmeleon,CHARMELEON,Charizard,CHARIZARD,100,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Charmeleon,1.8667,0.6667,1.8333,1.5,6.666667,2.3333,2,2.533334,1.1,1.03,3,19,1.03,CHARMELEON,1484,Fire Punch,FIRE_PUNCH,Flame Burst,FLAME_BURST,Flamethrower,FLAMETHROWER,Ember Fast,EMBER_FAST,Fire Fang Fast,FIRE_FANG_FAST,FAMILY_CHARMANDER,Charmander,158,129,116,POKEMON_TYPE_FIRE,Fire,,,0.1,8,0.07,0.1,4.24875,0.2575,1,0.15,1,1.6,0.2,Movement Jump,MOVEMENT_JUMP,0.875,0.125,0.4635,0.6953,0.5,Charizard,CHARIZARD,,,,100,,,Charmander,CHARMANDER,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Charizard,2.2,0.6667,1.6667,0.8667,6.666667,2,1.6,2,1.7,1.91,3,90.5,0.81,CHARIZARD,2686,Fire Blast,FIRE_BLAST,Dragon Claw,DRAGON_CLAW,Overheat,OVERHEAT,Fire Spin Fast,FIRE_SPIN_FAST,Air Slash Fast,AIR_SLASH_FAST,FAMILY_CHARMANDER,Charmander,223,176,156,POKEMON_TYPE_FIRE,Fire,POKEMON_TYPE_FLYING,Flying,0.2,4,0.05,0.05,5,0.405,1,0.15,1,1.6,0.2,Movement Flying,MOVEMENT_FLYING,0.875,0.125,1.25,1.215,0.5,,,,,,,BUDDY_BIG,Big,Charmeleon,CHARMELEON,100,Charmander,CHARMANDER,25,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Squirtle,1.7333,0.6667,1.6667,1.5,0,2.1667,1,1.333333,0.5,0.43,3,9,1.53,SQUIRTLE,808,Aqua Jet,AQUA_JET,Aqua Tail,AQUA_TAIL,Water Pulse,WATER_PULSE,Bubble Fast,BUBBLE_FAST,Tackle Fast,TACKLE_FAST,FAMILY_SQUIRTLE,Squirtle,94,122,88,POKEMON_TYPE_WATER,Water,,,0.1,29,0.1,0.2,2.86875,0.2295,1,0.15,1,1.6,0.2,Movement Jump,MOVEMENT_JUMP,0.875,0.125,0.3,0.5738,0.1,Wartortle,WARTORTLE,Blastoise,BLASTOISE,100,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Wartortle,2,0.6667,1.6667,1.8333,0,1.8,1.0667,1.133333,1,1,3,22.5,1,WARTORTLE,1324,Aqua Jet,AQUA_JET,Ice Beam,ICE_BEAM,Hydro Pump,HYDRO_PUMP,Water Gun Fast,WATER_GUN_FAST,Bite Fast,BITE_FAST,FAMILY_SQUIRTLE,Squirtle,126,155,118,POKEMON_TYPE_WATER,Water,,,0.1,8,0.07,0.1,3.75,0.25,1,0.15,1.25,1.6,0.2,Movement Jump,MOVEMENT_JUMP,0.875,0.125,0.5,0.5625,0.5,Blastoise,BLASTOISE,,,,100,,,Squirtle,SQUIRTLE,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Blastoise,2.1333,0.6667,1.6667,1.8333,0,2,2.6667,1.333333,1.6,1.39,3,85.5,0.94,BLASTOISE,2291,Flash Cannon,FLASH_CANNON,Ice Beam,ICE_BEAM,Hydro Pump,HYDRO_PUMP,Water Gun Fast,WATER_GUN_FAST,Bite Fast,BITE_FAST,FAMILY_SQUIRTLE,Squirtle,171,210,158,POKEMON_TYPE_WATER,Water,,,0.2,5,0.05,0.05,4.846875,0.564,1,0.15,1.25,1.6,0.2,Movement Jump,MOVEMENT_JUMP,0.875,0.125,0.8,0.846,0.5,,,,,,,BUDDY_BIG,Big,Wartortle,WARTORTLE,100,Squirtle,SQUIRTLE,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Caterpie,0,0.6667,1.6667,1.6667,0,1.8333,1.6667,0,0.3,0.19,1,2.9,2.04,CATERPIE,393,Struggle,STRUGGLE,,,,,Bug Bite Fast,BUG_BITE_FAST,Tackle Fast,TACKLE_FAST,FAMILY_CATERPIE,Caterpie,55,62,90,POKEMON_TYPE_BUG,Bug,,,0.1,29,0.2,0.5,2.295,0.102,1,0.15,1,1.6,0.2,Movement Jump,MOVEMENT_JUMP,0.5,0.5,0.1,0.459,,Metapod,METAPOD,Butterfree,BUTTERFREE,50,12,BUDDY_SHOULDER,Shoulder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
