ID,PID,description,name,generation,imageURL,shinyImageURL,weight,type1,type2,height,maxCP,attack,defense,stamina,fleeRate,captureRate,rarity,buddyDistance,pokedexEntry,candyEvolve,legendary,weatherBoost,
"0","001"," <p> <strong>Pokemon GO Bulbasaur</strong> is a <span class=""type grass"">grass</span> <span class=""type poison"">poison</span> type with <strong>981 MAX CP</strong>.<br> Bulbasaur best moveset is <strong>Vine Whip and Power Whip</strong>.<br> Bulbasaur is vulnerable to <a href=""/type/fire"">Fire</a>, <a href=""/type/flying"">Flying</a>, <a href=""/type/ice"">Ice</a>, <a href=""/type/psychic"">Psychic</a> type moves.<br> Bulbasaur is boosted by Clear and Cloudy weather.<br> It takes  25  candy to evolve!<br> ","Bulbasaur","1","https://db.pokemongohub.net/images/pokemon//normal-animated/001.gif","https://db.pokemongohub.net/images/pokemon//shiny-animated/001.gif","6.90 kg","GRASS","POISON","0.70 m","981","118","118","90","10.00%","20.00%","unknown","3 KM","Bulbasaur can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun's rays, the seed grows progressively larger.","25","No","Clear, Cloudy"
"1","002"," <p> <strong>Pokemon GO Ivysaur</strong> is a <span class=""type grass"">grass</span> <span class=""type poison"">poison</span> type with <strong>1552 MAX CP</strong>.<br> Ivysaur best moveset is <strong>Vine Whip and Solar Beam</strong>.<br> Ivysaur is vulnerable to <a href=""/type/fire"">Fire</a>, <a href=""/type/flying"">Flying</a>, <a href=""/type/ice"">Ice</a>, <a href=""/type/psychic"">Psychic</a> type moves.<br> Ivysaur is boosted by Clear and Cloudy weather.<br> It takes  100  candy to evolve!<br> ","Ivysaur","1","https://db.pokemongohub.net/images/pokemon//normal-animated/002.gif","https://db.pokemongohub.net/images/pokemon//shiny-animated/002.gif","13.00 kg","GRASS","POISON","1.00 m","1552","151","151","120","7.00%","10.00%","unknown","3 KM","There is a bud on this Pokemon's back. To support its weight, Ivysaur's legs and trunk grow thick and strong. If it starts spending more time lying in the sunlight, it's a sign that the bud will bloom into a large flower soon.","100","No","Clear, Cloudy"
"2","003"," <p> <strong>Pokemon GO Venusaur</strong> is a <span class=""type grass"">grass</span> <span class=""type poison"">poison</span> type with <strong>2568 MAX CP</strong>.<br> Venusaur best moveset is <strong>Vine Whip and Solar Beam</strong>.<br> Venusaur is vulnerable to <a href=""/type/fire"">Fire</a>, <a href=""/type/flying"">Flying</a>, <a href=""/type/ice"">Ice</a>, <a href=""/type/psychic"">Psychic</a> type moves.<br> Venusaur is boosted by Clear and Cloudy weather.<br> <span class=""counters-short-description""> ","Venusaur","1","https://db.pokemongohub.net/images/pokemon//normal-animated/003.gif","https://db.pokemongohub.net/images/pokemon//shiny-animated/003.gif","100.00 kg","GRASS","POISON","2.00 m","2568","198","198","160","5.00%","5.00%","unknown","3 KM","There is a large flower on Venusaur's back. The flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower's aroma soothes the emotions of people.","-","No","Clear, Cloudy"
"3","004"," <p> <strong>Pokemon GO Charmander</strong> is a <span class=""type fire"">fire</span> type with <strong>831 MAX CP</strong>.<br> Charmander best moveset is <strong>Ember and Flamethrower</strong>.<br> Charmander is vulnerable to <a href=""/type/rock"">Rock</a>, <a href=""/type/ground"">Ground</a>, <a href=""/type/water"">Water</a> type moves.<br> Charmander is boosted by Clear weather.<br> It takes  25  candy to evolve!<br> <span class=""counters-short-description""> </span> ","Charmander","1","https://db.pokemongohub.net/images/pokemon//normal-animated/004.gif","https://db.pokemongohub.net/images/pokemon//shiny-animated/004.gif","8.50 kg","FIRE"," ","0.60 m","831","116","96","78","10.00%","20.00%","unknown","3 KM","The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when Charmander is enjoying itself. If the Pokemon becomes enraged, the flame burns fiercely.","25","No","Clear, </td>"
"4","005"," <p> <strong>Pokemon GO Charmeleon</strong> is a <span class=""type fire"">fire</span> type with <strong>1484 MAX CP</strong>.<br> Charmeleon best moveset is <strong>Fire Fang and Flamethrower</strong>.<br> Charmeleon is vulnerable to <a href=""/type/rock"">Rock</a>, <a href=""/type/ground"">Ground</a>, <a href=""/type/water"">Water</a> type moves.<br> Charmeleon is boosted by Clear weather.<br> It takes  100  candy to evolve!<br> <span class=""counters-short-description""> </span> ","Charmeleon","1","https://db.pokemongohub.net/images/pokemon//normal-animated/005.gif","https://db.pokemongohub.net/images/pokemon//shiny-animated/005.gif","19.00 kg","FIRE"," ","1.10 m","1484","158","129","116","7.00%","10.00%","unknown","3 KM","Charmeleon mercilessly destroys its foes using its sharp claws. If it encounters a strong foe, it turns aggressive. In this excited state, the flame at the tip of its tail flares with a bluish white color.","100","No","Clear, </td>"
"5","006"," <p> <strong>Pokemon GO Charizard</strong> is a <span class=""type fire"">fire</span> <span class=""type flying"">flying</span> type with <strong>2686 MAX CP</strong>.<br> Charizard best moveset is <strong>Fire Spin and Overheat</strong>.<br> Charizard is vulnerable to <a href=""/type/rock"">Rock</a>, <a href=""/type/water"">Water</a>, <a href=""/type/electric"">Electric</a> type moves.<br> Charizard is boosted by Clear and Wind weather.<br> <span class=""counters-short-description""> </span> ","Charizard","1","https://db.pokemongohub.net/images/pokemon//normal-animated/006.gif","https://db.pokemongohub.net/images/pokemon//shiny-animated/006.gif","90.50 kg","FIRE","FLYING","1.70 m","2686","223","176","156","5.00%","5.00%","unknown","3 KM","Charizard flies around the sky in search of powerful opponents. It breathes fire of such great heat that it melts anything. However, it never turns its fiery breath on any opponent weaker than itself.","-","No","Clear, Wind"
"6","007"," <p> <strong>Pokemon GO Squirtle</strong> is a <span class=""type water"">water</span> type with <strong>808 MAX CP</strong>.<br> Squirtle best moveset is <strong>Bubble and Aqua Tail</strong>.<br> Squirtle is vulnerable to <a href=""/type/electric"">Electric</a>, <a href=""/type/grass"">Grass</a> type moves.<br> Squirtle is boosted by Rain weather.<br> It takes  25  candy to evolve!<br> <span class=""counters-short-description""> </span> </p> ","Squirtle","1","https://db.pokemongohub.net/images/pokemon//normal-animated/007.gif","https://db.pokemongohub.net/images/pokemon//shiny-animated/007.gif","9.00 kg","WATER"," ","0.50 m","808","94","122","88","10.00%","20.00%","unknown","3 KM","Squirtle's shell is not merely used for protection. The shell's rounded shape and the grooves on its surface help minimize resistance in water, enabling this Pokemon to swim at high speeds.","25","No","Rain, </td>"
"7","008"," <p> <strong>Pokemon GO Wartortle</strong> is a <span class=""type water"">water</span> type with <strong>1324 MAX CP</strong>.<br> Wartortle best moveset is <strong>Bite and Hydro Pump</strong>.<br> Wartortle is vulnerable to <a href=""/type/electric"">Electric</a>, <a href=""/type/grass"">Grass</a> type moves.<br> Wartortle is boosted by Rain weather.<br> It takes  100  candy to evolve!<br> <span class=""counters-short-description""> </span> </p> ","Wartortle","1","https://db.pokemongohub.net/images/pokemon//normal-animated/008.gif","https://db.pokemongohub.net/images/pokemon//shiny-animated/008.gif","22.50 kg","WATER"," ","1.00 m","1324","126","155","118","7.00%","10.00%","unknown","3 KM","Its tail is large and covered with a rich, thick fur. The tail becomes increasingly deeper in color as Wartortle ages. The scratches on its shell are evidence of this Pokemon's toughness as a battler.","100","No","Rain, </td>"
"8","009"," <p> <strong>Pokemon GO Blastoise</strong> is a <span class=""type water"">water</span> type with <strong>2291 MAX CP</strong>.<br> Blastoise best moveset is <strong>Bite and Hydro Pump</strong>.<br> Blastoise is vulnerable to <a href=""/type/electric"">Electric</a>, <a href=""/type/grass"">Grass</a> type moves.<br> Blastoise is boosted by Rain weather.<br> <span class=""counters-short-description""> </span> </p> <ul> ","Blastoise","1","https://db.pokemongohub.net/images/pokemon//normal-animated/009.gif","https://db.pokemongohub.net/images/pokemon//shiny-animated/009.gif","85.50 kg","WATER"," ","1.60 m","2291","171","210","158","5.00%","5.00%","unknown","3 KM","Blastoise has water spouts that protrude from its shell. The water spouts are very accurate. They can shoot bullets of water with enough accuracy to strike empty cans from a distance of over 160 feet.","-","No","Rain, </td>"
"9","010"," <p> <strong>Pokemon GO Caterpie</strong> is a <span class=""type bug"">bug</span> type with <strong>393 MAX CP</strong>.<br> Caterpie best moveset is <strong>Tackle and Struggle</strong>.<br> Caterpie is vulnerable to <a href=""/type/fire"">Fire</a>, <a href=""/type/flying"">Flying</a>, <a href=""/type/rock"">Rock</a> type moves.<br> Caterpie is boosted by Rain weather.<br> It takes  12  candy to evolve!<br> <span class=""counters-short-description""> </span> ","Caterpie","1","https://db.pokemongohub.net/images/pokemon//normal-animated/010.gif","https://db.pokemongohub.net/images/pokemon//shiny-animated/010.gif","2.90 kg","BUG"," ","0.30 m","393","55","62","90","20.00%","50.00%","unknown","1 KM","Caterpie has a voracious appetite. It can devour leaves bigger than its body right before your eyes. From its antenna, this Pokemon releases a terrifically strong odor.","12","No","Rain, </td>"
